ID,trip.frequency,payment.options,payment.options_text,prepaid.transit_value,prepaid.transit_other,discount.eligible,discount.other,discount.senior,discount.veteran,discount.student,discount.other_recieve,Q3.4_4_TEXT,discount.ineligible,discount.idk,financial.checking,financial.savings,financial.prepaid,financial.credit,financial.checkcashing,financial.loan,financial.peer,financial.wire,financial.mobile,financial.other,financial.other_text,bank.interest,bank.hours,bank.location,bank.fees_high,bank.fees_unpredictable,bank.useless,bank.distrust,bank.minbalance,bank.privacy,bank.identification,bank.other,bank.other_text,prepaid.card_from,prepaid.card_other,preference.credit,preference.phone,preference.prepaid_debit,preference.debit,preference.prepaid_gov,challenge.phone,challenge.phone_other,challenge.prepaid_gov,challenge.prepaid_gov_other,gender,income,benefits,benefits.other,employment,employment.other,section1,section3,section4,section5,section6,complete,payment.other,payment.cash,payment.prepaid,payment.mobile,payment.card,phone.wifi,phone.money,phone.identity,phone.fees,phone.balance,prepaid.places,prepaid.money,prepaid.sharing,prepaid.identity,prepaid.fees,prepaid.balance,calfresh,wic,medical,healthyfam,calworks,housing,female,male,other,inc.less25,inc.25,inc.50plus,financial.count,unbanked,checking.only,savings.only,both.accounts,some.banking,prefer.none
43,NA,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,3,FALSE,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,No,No,No,Yes,Yes,NA
44,Three days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,NA,NA,Not at all interested,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,NA,NA,From a government agency,NA,Would not use,Would not use,Would not use,Would not use,Would not use,NA,NA,NA,NA,Male,"$50,000 or more","CalFresh or SNAP,Medi-Cal",NA,NA,NA,1,1,1,0,1,4,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,No,Yes,NA,No,No,Yes,1,Yes,No,No,No,NA,1
45,Four days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,No,Yes,No,NA,NA,Somewhat interested,No,No,Yes,Yes,No,Yes,Yes,No,No,NA,Overdraft fees,From a government agency,NA,Would not use,Would like to use,Would like to use,Would not use,Would like to use,"Not having wifi access,Ways to add money,Monthly fees,Knowing the balance",NA,"Ways to add money,Sharing the card with family members,Monthly fees,Knowing the balance,Other (please write in)",Being able to cancel it ,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,On Disability and SSI,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
46,Six or seven days a week,Prepaid card from transit agency,NA,Through an online transit agency account that is connected to my card,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
47,Six or seven days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a government agency,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,"Ways to add money,Monthly fees",NA,Female,"$25,000 to $49,999","CalFresh or SNAP,Housing Assistance Program",NA,Management or administrative,NA,1,1,1,0,1,4,FALSE,Yes,No,No,No,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,Yes,No,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
48,Less than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
49,NA,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Already use,Already use,Would not use,Would not use,Would not use,NA,NA,"Sharing the card with family members,Knowing the balance",NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,3,FALSE,No,No,No,No,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,No,Yes,No,No,Yes,0
50,NA,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,No,No,NA,NA,Not at all interested,No,No,No,No,No,Yes,No,No,No,NA,NA,From a government agency,NA,Would not use,Would not use,Would like to use,Would not use,Would like to use,NA,NA,Knowing the balance,NA,Male,"Less than $25,000",Medi-Cal,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
51,Three days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would not use,Would not use,Would not use,Would like to use,"Not having wifi access,Ways to add money",NA,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
52,Two days a week,Prepaid card from transit agency,NA,Through an online transit agency account that is connected to my card,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would like to use,Would not use,"Not having wifi access,Monthly fees,Knowing the balance",NA,"Places to get it,Sharing the card with family members,Monthly fees,Knowing the balance",NA,Male,"$25,000 to $49,999","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,No,Yes,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
53,Five days a week,Prepaid card from transit agency,NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,No,Yes,No,No,No,NA,Not very interested,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,Outdated ,From somewhere else (please write in),PayPal ,Would like to use,Would like to use,Already use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Places to get it,Ways to add money,Sharing the card with family members,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$50,000 or more",Medi-Cal,NA,Production/construction or crafts,NA,1,1,1,1,1,5,FALSE,No,Prepaid card from transit agency,No,No,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,No,Yes,NA,No,No,Yes,1,Yes,No,No,No,NA,0
54,Less than once a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,No,No,No,Yes,Yes,NA
55,Five days a week,"Prepaid card from transit agency,Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,Through an online transit agency account that is connected to my card,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,FALSE,No,Prepaid card from transit agency,Mobile phone,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
58,NA,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,Yes,No,No,NA,NA,From a bank branch or website,NA,Would like to use,Would like to use,Would like to use,Already use,Would like to use,"Not having wifi access,Ways to add money",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,2,FALSE,Yes,No,No,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,No,No,No,No,No,0
59,Three days a week,Other (please write in),my ucd student ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,FALSE,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
60,Six or seven days a week,Prepaid card from transit agency,NA,Other (please write in),Case manager ,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Not very interested,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,Would like to use,Would not use,Would like to use,Would not use,Would like to use,Not having wifi access,NA,Ways to add money,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
61,Two days a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disability  ,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,Yes,Yes,Yes,No,No,No,No,No,NA,Not very interested,No,No,No,No,No,Yes,No,Yes,No,No,NA,From a government agency,NA,Already use,Would not use,Would like to use,Would not use,Already use,Identity concerns,NA,"Ways to add money,Identity concerns",NA,Female,"$25,000 to $49,999",Medi-Cal,NA,Unemployed,Disability ,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Yes,No,NA,No,Yes,No,1,Yes,No,No,No,NA,0
62,Three days a week,Prepaid card from transit agency,NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would not use,Already use,Would not use,NA,NA,NA,NA,Male,"Less than $25,000",NA,NA,Unemployed,Disability ,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
63,Less than once a week,Cash,NA,NA,NA,"Yes, veteran discount",NA,NA,Might or might not,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Somewhat interested,No,No,No,No,No,No,Yes,No,Yes,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would like to use,Other (please write in),Doesn’t have a phone ,"Sharing the card with family members,Identity concerns",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
64,Two days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,NA,Not very interested,No,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Tax lien on wages ,From a website or other that is not a bank,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Identity concerns",NA,"Places to get it,Ways to add money,Sharing the card with family members,Identity concerns",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,CalWORKS",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
65,Three days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would like to use,Would like to use,Would like to use,Already use,Would not use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Sharing the card with family members,Monthly fees",NA,Female,"$25,000 to $49,999",CalFresh or SNAP,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
66,Five days a week,"Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,NA,NA,"Yes, another discount (please write in)",UCD employee,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Already use,Would not use,Would not use,Would not use,NA,NA,"Places to get it,Ways to add money,Sharing the card with family members,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$25,000 to $49,999",Medi-Cal,NA,Professional or technical,Medical professional,1,1,1,0,1,4,FALSE,No,No,Mobile phone,No,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,No,Yes,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
67,Four days a week,"Cash,Prepaid card from transit agency",NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Coin Based ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would like to use,Already use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees",NA,"Places to get it,Sharing the card with family members,Identity concerns,Monthly fees",NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,Prepaid card from transit agency,No,No,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
68,Six or seven days a week,Prepaid card from transit agency,NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$25,000 to $49,999","CalFresh or SNAP,Medi-Cal,CalWORKS,Housing Assistance Program",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,No,Yes,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
69,Two days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would not use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns",NA,"Places to get it,Ways to add money,Sharing the card with family members,Knowing the balance",NA,Female,"$25,000 to $49,999",Other (Please write in),Partnership,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,No,No,Yes,No,Yes,0
70,Six or seven days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would not use,Would not use,Would not use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Identity concerns",NA,"Ways to add money,Identity concerns",NA,Male,"Less than $25,000",CalFresh or SNAP,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
71,Three days a week,Cash,NA,NA,NA,"Yes, senior citizen discount,Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,Disability ,NA,NA,No,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would like to use,"Knowing the balance,Other (please write in)",Do not have a phone ,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program,Other (Please write in)",Empower Yolo,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,No,Yes,NA,Yes,No,No,1,No,No,Yes,No,Yes,0
72,Four days a week,"Cash,Other (please write in)",Bus ticket ,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees",NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
73,Two days a week,Cash,NA,NA,NA,"Yes, senior citizen discount,Yes, veteran discount",NA,NA,Might or might not,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,No,No,No,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would like to use,Would like to use,Other (please write in),Don’t have a phone ,"Places to get it,Ways to add money,Identity concerns,Knowing the balance",NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
74,Six or seven days a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Walmart ,Would not use,Would like to use,Would not use,Would not use,Would not use,Not having wifi access,NA,NA,NA,Male,"Less than $25,000",Medi-Cal,NA,NA,Disabled ,1,1,1,0,1,4,FALSE,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
75,NA,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disable,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,NA,Not at all interested,No,No,No,No,Yes,No,Yes,No,No,No,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Knowing the balance,NA,Ways to add money,NA,Prefer not to say,"Less than $25,000",Other (Please write in),NA,Professional or technical,Healthcare,0,1,1,1,NA,NA,FALSE,Yes,No,No,No,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No,No,NA,Yes,No,No,1,Yes,No,No,No,NA,1
76,Four days a week,"Cash,Prepaid card from transit agency",NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,Might or might not,NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Walmart,Would not use,Would like to use,Already use,Already use,Would like to use,"Not having wifi access,Ways to add money,Monthly fees",NA,"Places to get it,Ways to add money,Monthly fees",NA,Male,"Less than $25,000","Medi-Cal,Housing Assistance Program,Other (Please write in)",Medi-care ,Unemployed,Social security ,1,1,1,1,1,5,FALSE,Yes,Prepaid card from transit agency,No,No,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
78,Four days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,Might or might not,NA,NA,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,NA,NA,NA,NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,1
79,Six or seven days a week,"Prepaid card from transit agency,Contact-less/tap payment with a credit card or prepaid debit card",NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Already use,Already use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Places to get it,Ways to add money,Identity concerns,Knowing the balance",NA,Female,"Less than $25,000",NA,NA,Stay at home/homemaker,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,Contact-less payment,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
80,Five days a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),BANK OF AM,Would not use,Would not use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees",NA,"Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$50,000 or more",CalFresh or SNAP,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
81,Three days a week,Cash,NA,NA,NA,"Yes, senior citizen discount,Yes, veteran discount",NA,Might or might not,Might or might not,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Knowing the balance,NA,"Places to get it,Knowing the balance",NA,Male,"Less than $25,000",NA,NA,Unemployed,Retired ,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,Yes,No,Yes,1
